subruns ctag meanYErr
1 14076 0.245844
2 52517 0.126379
3 92012 0.0953513
4 131037 0.0798849
5 169612 0.0702725
6 208395 0.0633768
7 247810 0.058134
8 286284 0.0540492
9 323202 0.0508551
10 361912 0.0480655
11 401055 0.0456596
12 439775 0.043605
13 478950 0.0417814
14 517845 0.0401805
15 557361 0.0387341
16 596288 0.0374625
17 632107 0.0363857
18 670987 0.0353196
19 709871 0.034346
20 748666 0.0334466
21 787516 0.0326094
22 826748 0.0318207
23 865463 0.031107
24 904901 0.0304197
25 941716 0.0298227
26 980385 0.0292247
27 1.01894e+06 0.0286667
28 1.05773e+06 0.0281353
29 1.09635e+06 0.0276357
30 1.13465e+06 0.0271673
31 1.174e+06 0.0267061
32 1.21282e+06 0.0262739
33 1.24974e+06 0.025883
34 1.28876e+06 0.0254877
35 1.32768e+06 0.0251123
36 1.36725e+06 0.0247454
37 1.40574e+06 0.0244014
38 1.44533e+06 0.0240616
39 1.48452e+06 0.0237387
40 1.52335e+06 0.0234328
41 1.55969e+06 0.0231573
42 1.59843e+06 0.0228724
43 1.63704e+06 0.0225987
44 1.67639e+06 0.0223345
45 1.71518e+06 0.0220841
46 1.754e+06 0.0218381
47 1.79323e+06 0.0216004
48 1.83222e+06 0.0213689
49 1.86841e+06 0.0211616
50 1.90706e+06 0.0209469
51 1.94531e+06 0.0207403
52 1.98398e+06 0.0205385
53 2.02306e+06 0.0203381
54 2.06166e+06 0.0201477
55 2.10046e+06 0.0199609
56 2.13846e+06 0.0197826
57 2.17551e+06 0.019614
58 2.21344e+06 0.0194468
59 2.25263e+06 0.0192761
60 2.29065e+06 0.0191151
61 2.32944e+06 0.018954
62 2.36914e+06 0.0187942
63 2.40785e+06 0.0186417
64 2.44521e+06 0.018499
65 2.48339e+06 0.0183565
66 2.52257e+06 0.0182122
67 2.56169e+06 0.0180731
68 2.60047e+06 0.0179369
69 2.63931e+06 0.0178037
70 2.67788e+06 0.0176738
71 2.71612e+06 0.0175482
72 2.75204e+06 0.0174325
73 2.79062e+06 0.0173123
74 2.82937e+06 0.0171937
75 2.86834e+06 0.0170752
76 2.90712e+06 0.0169613
77 2.94647e+06 0.0168465
78 2.98648e+06 0.0167341
79 3.02525e+06 0.0166267
80 3.06181e+06 0.0165273
81 3.1011e+06 0.0164219
82 3.13954e+06 0.0163214
83 3.17874e+06 0.01622
84 3.21777e+06 0.0161216
85 3.25639e+06 0.0160263
86 3.29551e+06 0.015932
87 3.3341e+06 0.0158401
88 3.37101e+06 0.0157527
89 3.40988e+06 0.0156631
90 3.44913e+06 0.015573
91 3.47838e+06 0.0155069
92 3.48599e+06 0.0154901
93 3.52181e+06 0.0154104
94 3.56109e+06 0.0153255
95 3.60019e+06 0.0152425
96 3.63686e+06 0.0151652
97 3.67554e+06 0.015085
98 3.71461e+06 0.0150055
99 3.75342e+06 0.0149277
100 3.79244e+06 0.0148505
101 3.83186e+06 0.0147737
102 3.87059e+06 0.0146998
103 3.90983e+06 0.0146262
104 3.94592e+06 0.0145592
105 3.98492e+06 0.0144875
106 4.02402e+06 0.0144165
107 4.06265e+06 0.0143472
108 4.10149e+06 0.0142791
109 4.1409e+06 0.0142112
110 4.17962e+06 0.014145
111 4.21853e+06 0.01408
112 4.25534e+06 0.0140186
113 4.29427e+06 0.0139546
114 4.33284e+06 0.0138919
115 4.37162e+06 0.0138306
116 4.41e+06 0.0137695
117 4.4493e+06 0.0137086
118 4.48822e+06 0.0136492
119 4.5275e+06 0.0135898
120 4.56407e+06 0.0135354
121 4.60333e+06 0.0134777
122 4.64207e+06 0.0134216
123 4.68137e+06 0.0133655
124 4.72015e+06 0.0133105
125 4.75873e+06 0.0132568
126 4.79715e+06 0.0132035
127 4.836e+06 0.0131504
128 4.87233e+06 0.0131009
129 4.91165e+06 0.0130484
130 4.95019e+06 0.0129975
131 4.98938e+06 0.0129463
132 5.02786e+06 0.0128973
133 5.06722e+06 0.0128471
134 5.10621e+06 0.012798
135 5.14513e+06 0.0127493
136 5.18152e+06 0.0127041
137 5.2205e+06 0.0126561
138 5.25952e+06 0.0126095
139 5.29826e+06 0.0125632
140 5.33670e+06 0.0125179
141 5.3756e+06 0.0124727
142 5.41462e+06 0.0124276
143 5.45361e+06 0.0123829
144 5.49062e+06 0.0123412
145 5.5294e+06 0.0122981
146 5.56808e+06 0.0122556
147 5.60689e+06 0.012213
148 5.64584e+06 0.0121708
149 5.68486e+06 0.0121292
150 5.72386e+06 0.0120878
151 5.76194e+06 0.0120478
152 5.79924e+06 0.0120087
153 5.8377e+06 0.0119688
154 5.87699e+06 0.0119288
155 5.9163e+06 0.0118892
156 5.95504e+06 0.0118503
157 5.99384e+06 0.011812
158 6.03252e+06 0.0117739
159 6.07047e+06 0.0117367
160 6.10813e+06 0.0117005
161 6.14726e+06 0.0116633
162 6.18667e+06 0.0116266
163 6.22549e+06 0.0115905
164 6.26479e+06 0.011554
165 6.3037e+06 0.0115185
166 6.34213e+06 0.0114833
167 6.37831e+06 0.0114508
168 6.41702e+06 0.0114165
169 6.45572e+06 0.0113824
170 6.49485e+06 0.0113476
171 6.53414e+06 0.0113132
172 6.57255e+06 0.01128
173 6.61142e+06 0.0112468
174 6.64988e+06 0.0112145
175 6.68637e+06 0.0111837
176 6.72444e+06 0.0111518
177 6.7636e+06 0.0111192
178 6.80273e+06 0.011087
179 6.84212e+06 0.0110552
180 6.88089e+06 0.0110237
181 6.91945e+06 0.010993
182 6.95848e+06 0.0109622
183 6.99499e+06 0.0109336
184 7.03378e+06 0.0109034
185 7.07221e+06 0.0108735
186 7.11088e+06 0.0108437
187 7.14948e+06 0.0108141
188 7.18840e+06 0.010785
189 7.22728e+06 0.0107559
190 7.26635e+06 0.0107269
191 7.30242e+06 0.0107001
192 7.34163e+06 0.0106715
193 7.3809e+06 0.0106431
194 7.4194e+06 0.0106154
195 7.45828e+06 0.0105878
196 7.49782e+06 0.0105598
197 7.53698e+06 0.0105324
198 7.57624e+06 0.0105052
199 7.6126e+06 0.0104801
200 7.65107e+06 0.0104537
201 7.68956e+06 0.0104275
202 7.72886e+06 0.0104012
203 7.76741e+06 0.0103755
204 7.80617e+06 0.0103498
205 7.84537e+06 0.0103238
206 7.88454e+06 0.0102982
207 7.92077e+06 0.0102746
208 7.96e+06 0.0102492
209 7.99828e+06 0.0102246
210 8.03766e+06 0.0101995
211 8.07591e+06 0.0101754
212 8.11528e+06 0.0101507
213 8.15405e+06 0.0101264
214 8.19267e+06 0.0101024
215 8.2286e+06 0.0100803
216 8.26755e+06 0.0100566
217 8.30619e+06 0.0100333
218 8.34544e+06 0.0100096
219 8.38472e+06 0.00998615
220 8.42338e+06 0.00996323
221 8.46302e+06 0.00993969
