  run  | subrun |            time            | step1_voltage | step2_voltage | total_current | pos_2step_current | pos_1step_current | neg_2step_current | neg_1step_current 
-------+--------+----------------------------+---------------+---------------+---------------+-------------------+-------------------+-------------------+-------------------
 17145 |      0 | 2018-06-12 22:10:59        |       13.1061 |       18.3062 |        1.5097 |            0.3218 |            0.4071 |            0.4085 |            0.3724
 17145 |      1 | 2018-06-12 22:11:26.5      |       13.1089 |       18.3065 |        5.9405 |            0.9525 |             1.934 |            1.5217 |            1.5324
 17145 |      2 | 2018-06-12 22:11:34        |       13.1052 |       18.3067 |        7.1642 |            1.1251 |            2.3601 |            1.8315 |            1.8475
 17145 |      3 | 2018-06-12 22:11:41.5      |       13.1135 |         18.31 |        8.3192 |            1.2835 |            2.7651 |            2.1212 |            2.1494
 17145 |      4 | 2018-06-12 22:11:51.5      |       13.1074 |        18.306 |        9.2217 |             1.415 |            3.0789 |            2.3567 |            2.3711
 17145 |      5 | 2018-06-12 22:12:06.5      |       13.1091 |       18.3071 |        8.4967 |            1.3093 |             2.837 |            2.1819 |            2.1685
 17145 |      6 | 2018-06-12 22:12:21.5      |       13.1099 |       18.3103 |        8.6294 |            1.3243 |            2.8876 |            2.2146 |            2.2029
 17145 |      7 | 2018-06-12 22:12:31.5      |       13.0993 |       18.2987 |        9.4011 |            1.4327 |             3.155 |            2.4065 |             2.407
 17145 |      8 | 2018-06-12 22:12:41.5      |       13.1075 |       18.3057 |        9.9578 |            1.5163 |            3.3453 |            2.5519 |            2.5443
 17145 |      9 | 2018-06-12 22:12:49        |       13.1114 |       18.3055 |        10.423 |            1.5813 |            3.5067 |             2.671 |             2.664
 17145 |     10 | 2018-06-12 22:13:01.5      |       13.1074 |       18.3067 |        9.8241 |            1.4954 |             3.304 |            2.5226 |             2.502
 17145 |     11 | 2018-06-12 22:13:16.5      |       13.1091 |       18.3073 |         8.407 |            1.2946 |            2.8152 |            2.1669 |            2.1303
 17145 |     12 | 2018-06-12 22:13:26.5      |       13.1095 |       18.3071 |        9.3154 |            1.4242 |            3.1265 |            2.3941 |            2.3706
 17145 |     13 | 2018-06-12 22:13:36.5      |         13.11 |       18.3075 |        9.9674 |            1.5161 |            3.3513 |            2.5585 |            2.5416
 17145 |     14 | 2018-06-12 22:13:44        |       13.1072 |       18.3068 |       10.2678 |             1.559 |            3.4563 |            2.6332 |            2.6193
 17145 |     15 | 2018-06-12 22:13:54.666667 |       13.1106 |       18.3082 |       10.6964 |            1.6188 |            3.6047 |            2.7434 |            2.7295
 17145 |     16 | 2018-06-12 22:14:10        |       13.1081 |       18.3068 |             9 |            1.3771 |            3.0238 |            2.3176 |            2.2815
 17145 |     17 | 2018-06-12 22:14:22.5      |       13.1095 |       18.3069 |        9.0877 |            1.3915 |            3.0496 |            2.3382 |            2.3085
 17145 |     18 | 2018-06-12 22:14:32.5      |       13.0767 |       18.3097 |        9.7636 |            1.4837 |            3.2854 |            2.5014 |            2.4929
 17145 |     19 | 2018-06-12 22:14:42.5      |       13.1103 |       18.3076 |       10.2465 |            1.5555 |            3.4489 |            2.6293 |            2.6128
 17145 |     20 | 2018-06-12 22:14:52.5      |       13.1111 |       18.3059 |       10.6559 |            1.6136 |            3.5911 |            2.7329 |            2.7183
 17145 |     21 | 2018-06-12 22:15:04.666667 |       13.1065 |       18.3066 |        9.5916 |            1.4613 |            3.2275 |            2.4671 |            2.4356
 17145 |     22 | 2018-06-12 22:15:20        |       13.1083 |       18.3071 |        8.8773 |             1.361 |            2.9781 |            2.2854 |            2.2528
 17145 |     23 | 2018-06-12 22:15:27.5      |       13.1114 |       18.3076 |        9.5037 |              1.45 |            3.1923 |            2.4429 |            2.4184
 17145 |     24 | 2018-06-12 22:15:37.5      |       13.1081 |       18.3081 |       10.0602 |            1.5283 |            3.3846 |            2.5825 |            2.5647
 17145 |     25 | 2018-06-12 22:15:47.5      |       13.1101 |       18.3076 |        10.427 |            1.5807 |            3.5114 |            2.6753 |            2.6596
