  run  | subrun |          time          | step1_voltage | step2_voltage | total_current | pos_2step_current | pos_1step_current | neg_2step_current | neg_1step_current 
-------+--------+------------------------+---------------+---------------+---------------+-------------------+-------------------+-------------------+-------------------
 17260 |      0 | 2018-06-17 06:42:03.25 |       13.1065 |       18.3069 |         3.436 |            0.5902 |            1.0907 |            0.9104 |            0.8447
 17260 |      1 | 2018-06-17 06:42:28.5  |       13.1111 |        18.308 |        6.1961 |            0.9845 |            2.0309 |            1.5962 |            1.5845
 17260 |      2 | 2018-06-17 06:42:38.5  |       13.1089 |       18.2994 |        7.8476 |            1.2169 |            2.6037 |            2.0085 |            2.0185
 17260 |      3 | 2018-06-17 06:42:48.5  |       13.1122 |       18.3072 |        9.0363 |            1.3865 |             3.016 |             2.314 |            2.3197
 17260 |      4 | 2018-06-17 06:42:56    |       13.1061 |        18.307 |        9.4533 |            1.4453 |            3.1638 |            2.4199 |            2.4243
 17260 |      5 | 2018-06-17 06:43:08.5  |       13.1014 |        18.308 |        8.7862 |             1.346 |            2.9403 |            2.2543 |            2.2456
 17260 |      6 | 2018-06-17 06:43:23.5  |       13.1107 |       18.3088 |        8.4029 |            1.2921 |            2.8083 |            2.1624 |            2.1401
 17260 |      7 | 2018-06-17 06:43:33.5  |       13.1084 |       18.3064 |        9.3111 |            1.4235 |            3.1205 |            2.3898 |            2.3773
 17260 |      8 | 2018-06-17 06:43:43.5  |       13.1097 |       18.3076 |        9.9571 |            1.5146 |            3.3446 |            2.5536 |            2.5444
 17260 |      9 | 2018-06-17 06:43:53.5  |       13.1109 |       18.3081 |        10.435 |            1.5812 |            3.5111 |            2.6757 |            2.6671
 17260 |     10 | 2018-06-17 06:44:06    |       13.1065 |       18.3015 |        9.8257 |            1.4945 |             3.305 |            2.5241 |            2.5021
 17260 |     11 | 2018-06-17 06:44:18.5  |       13.0975 |       18.2993 |        8.2297 |            1.2637 |            2.7578 |            2.1191 |             2.089
 17260 |     12 | 2018-06-17 06:44:28.5  |       13.1139 |       18.3129 |        9.2609 |            1.4103 |            3.1102 |            2.3769 |            2.3635
 17260 |     13 | 2018-06-17 06:44:38.5  |        13.109 |       18.3067 |        9.8873 |            1.5042 |            3.3231 |            2.5377 |            2.5222
