  run  | subrun |         time          | step1_voltage | step2_voltage | total_current | pos_2step_current | pos_1step_current | neg_2step_current | neg_1step_current 
-------+--------+-----------------------+---------------+---------------+---------------+-------------------+-------------------+-------------------+-------------------
 34908 |      0 | 2020-03-19 09:03:00   |        13.127 |       18.2067 |        10.927 |              3.97 |             1.726 |             4.409 |             0.822
 34908 |      1 | 2020-03-19 09:03:11   |       13.1322 |       18.2076 |       11.7077 |            4.2536 |             1.853 |            4.7153 |            0.8857
 34908 |      2 | 2020-03-19 09:03:20.5 |       13.1236 |       18.2057 |       11.5948 |            4.2124 |            1.8331 |            4.6728 |            0.8765
 34908 |      3 | 2020-03-19 09:03:30   |       13.1286 |       18.2063 |       12.0137 |            4.3635 |            1.9024 |            4.8376 |            0.9103
 34908 |      4 | 2020-03-19 09:03:40   |        13.133 |       18.2087 |        12.367 |             4.491 |             1.961 |             4.977 |             0.938
 34908 |      5 | 2020-03-19 09:03:53   |       13.1115 |       18.2057 |       10.7383 |            3.9002 |            1.6936 |            4.3385 |             0.806
 34908 |      6 | 2020-03-19 09:04:06   |       13.1312 |       18.2071 |         11.42 |             4.149 |            1.8065 |            4.6021 |            0.8624
 34908 |      7 | 2020-03-19 09:04:15.5 |       13.1334 |       18.2097 |       11.7284 |            4.2622 |            1.8568 |            4.7224 |            0.8869
 34908 |      8 | 2020-03-19 09:04:25   |       13.1268 |       18.2067 |        11.841 |            4.3022 |            1.8738 |            4.7684 |            0.8966
 34908 |      9 | 2020-03-19 09:04:35   |       13.1228 |       18.2067 |       11.8439 |            4.3013 |            1.8745 |            4.7715 |            0.8967
 34908 |     10 | 2020-03-19 09:04:47   |       13.1277 |        18.206 |       12.3034 |            4.4668 |            1.9499 |            4.9539 |            0.9328
 34908 |     11 | 2020-03-19 09:05:02.5 |       13.1357 |       18.2099 |       11.4307 |            4.1551 |            1.8088 |            4.6063 |            0.8605
 34908 |     12 | 2020-03-19 09:05:15.5 |       13.1274 |        18.206 |       11.6117 |            4.2186 |            1.8364 |            4.6788 |            0.8779
 34908 |     13 | 2020-03-19 09:05:23   |       13.1362 |       18.2093 |       12.1085 |            4.3983 |            1.9191 |            4.8729 |            0.9181
 34908 |     14 | 2020-03-19 09:05:31.5 |       13.0899 |       18.2016 |       11.8602 |            4.3262 |            1.8602 |            4.7849 |            0.8889
 34908 |     15 | 2020-03-19 09:05:40.5 |       13.1257 |       18.2054 |       12.0437 |            4.3722 |            1.9082 |            4.8502 |             0.913
 34908 |     16 | 2020-03-19 09:05:53   |       13.1279 |       18.2105 |       10.7178 |            3.8926 |             1.694 |             4.328 |            0.8032
 34908 |     17 | 2020-03-19 09:06:09.5 |       13.1081 |       18.2066 |         9.732 |            3.5395 |             1.528 |            3.9386 |            0.7259
 34908 |     18 | 2020-03-19 09:06:24.5 |       13.0719 |       18.2008 |       10.8591 |            3.9651 |            1.6983 |            4.3852 |            0.8104
 34908 |     19 | 2020-03-19 09:06:37   |       13.1293 |       18.2059 |       11.5175 |            4.1834 |            1.8233 |            4.6365 |            0.8743
 34908 |     20 | 2020-03-19 09:06:49.5 |       13.1307 |       18.1941 |         11.82 |            4.3013 |            1.8683 |             4.756 |            0.8944
 34908 |     21 | 2020-03-19 09:07:02   |        13.127 |        18.207 |        12.009 |             4.362 |             1.901 |             4.836 |              0.91
