Run-1a,,,,,,,,,,,,,,
, Tilt [mrad],,,,,,, Tilt [ecm],,,,,,
Station, value, fit_error, acc_error, align_error, Br_error, reweight_error, tot_error, value, fit_error, acc_error, align_error, Br_error, reweight_err, tot_error
S12,0.460054,0.111,0.0256,0.0205,0.007298,0.009394,0.116515,1.54E-18,3.55E-19,8.18E-20,6.54E-20,2.33E-20,3.00E-20,3.72E-19
S18,0.070477,0.122,0.0178,0.00595,0.007298,0.001494,0.123962,2.96E-19,3.90E-19,5.68E-20,1.90E-20,2.33E-20,4.77E-21,3.96E-19
S12S18,0.282444,0.0826,0.0121,0.000146,0.00730,0.00385,0.0839,9.72E-19,2.64E-19,3.87E-20,4.68E-22,2.33E-20,1.23E-20,2.68E-19
,,,,,,,,,,,,,,
Run-1b,,,,,,,,,,,,,,
, Tilt [mrad],,,,,,, Tilt [ecm],,,,,,
Station, value, fit_error, acc_error, align_error, Br_error, reweight_error, tot_error, value, fit_error, acc_error, align_error, Br_error, reweight_err, tot_error
S12,0.254,0.0949,0.0134,0.00735,0.00817,0.0143,0.0975,8.83E-19,3.03E-19,4.27E-20,2.35E-20,2.61E-20,4.56E-20,3.11E-19
S18,0.270,0.105,0.0197,-0.000645,0.00817,0.0201,0.1086,9.35E-19,3.34E-19,6.30E-20,-2.06E-21,2.61E-20,6.43E-20,3.47E-19
S12S18,0.262,0.0706,0.0109,-0.00129,0.00817,0.00195,0.0719,9.08E-19,2.25E-19,3.47E-20,-4.12E-21,2.61E-20,6.23E-21,2.30E-19
,,,,,,,,,,,,,,
Run-1c,,,,,,,,,,,,,,
, Tilt [mrad],,,,,,, Tilt [ecm],,,,,,
Station, value, fit_error, acc_error, align_error, Br_error, reweight_error, tot_error, value, fit_error, acc_error, align_error, Br_error, reweight_err, tot_error
S12,0.552,0.0779,0.0273,0.0143,0.00824,0.00259,0.0842,1.86E-18,2.49E-19,8.71E-20,4.55E-20,2.63E-20,8.26E-21,2.69E-19
S18,0.470,0.0866,0.0281,-0.0189,0.00824,0.0255,0.0968,1.59E-18,2.76E-19,8.97E-20,-6.04E-20,2.63E-20,8.14E-20,3.09E-19
S12S18,0.517,0.0582,0.0190,-0.00707,0.00824,0.0157,0.0641,1.75E-18,1.86E-19,6.06E-20,-2.26E-20,2.63E-20,5.01E-20,2.05E-19
,,,,,,,,,,,,,,
Run-1d,,,,,,,,,,,,,,
, Tilt [mrad],,,,,,, Tilt [ecm],,,,,,
Station, value, fit_error, acc_error, align_error, Br_error, reweight_error, tot_error, value, fit_error, acc_error, align_error, Br_error, reweight_err, tot_error
S12,0.372,0.0683,0.0190,0.00791,0.00915,0.0123,0.0729,1.30E-18,2.18E-19,6.05E-20,2.53E-20,2.92E-20,3.93E-20,2.33E-19
S18,0.351,0.0760,0.0220,-0.00172,0.00915,0.0411,0.0897,1.23E-18,2.43E-19,7.04E-20,-5.49E-21,2.92E-20,1.31E-19,2.86E-19
S12S18,0.357,0.0511,0.0130,-0.00154,0.00915,0.0200,0.0571,1.25E-18,1.63E-19,4.16E-20,-4.91E-21,2.92E-20,6.39E-20,1.82E-19
