Run-1a,
, delta_prime, , , , , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.415108, 0.096168, 0.000624, 0.025975, 0.007298, 0.099883, 1.25427e-18, 3.0699e-19, 1.9905e-21, 8.29168e-20, 2.32968e-20, 3.18849e-19
S18, 0.079135, 0.101931, 0.000396, -0.002074, 0.007298, 0.102214, 1.81763e-19, 3.25386e-19, 1.26488e-21, -6.61996e-21, 2.32968e-20, 3.26288e-19
S12S18, 0.257545, 0.069961, 0.000392, 0.003688, 0.007298, 0.070438, 7.51286e-19, 2.2333e-19, 1.25128e-21, 1.17729e-20, 2.32968e-20, 2.24853e-19
Run-1b,
, delta_prime, , , , , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.251756, 0.082138, 0.000398, 0.008468, 0.008172, 0.082978, 7.31128e-19, 2.62203e-19, 1.27079e-21, 2.70309e-20, 2.6087e-20, 2.64884e-19
S18, 0.229411, 0.087157, 0.000460, 0.003042, 0.008172, 0.087594, 6.59799e-19, 2.78225e-19, 1.46987e-21, 9.71139e-21, 2.6087e-20, 2.79618e-19
S12S18, 0.240901, 0.059785, 0.000396, 0.002204, 0.008172, 0.060382, 6.96478e-19, 1.90846e-19, 1.2644e-21, 7.0351e-21, 2.6087e-20, 1.92753e-19
Run-1c,
, delta_prime, , , , , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.500265, 0.067384, 0.000725, 0.021556, 0.008243, 0.071231, 1.50246e-18, 2.15106e-19, 2.31581e-21, 6.88129e-20, 2.63134e-20, 2.27384e-19
S18, 0.401299, 0.072139, 0.000722, -0.006840, 0.008243, 0.072933, 1.18654e-18, 2.30283e-19, 2.30532e-21, -2.18345e-20, 2.63134e-20, 2.32819e-19
S12S18, 0.453654, 0.049252, 0.000685, 0.003730, 0.008243, 0.050081, 1.35366e-18, 1.57223e-19, 2.18736e-21, 1.19065e-20, 2.63134e-20, 1.59869e-19
Run-1d,
, delta_prime, , , , , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.345432, 0.059129, 0.000536, 0.013145, 0.009145, 0.061262, 9.93267e-19, 1.88754e-19, 1.71015e-21, 4.19604e-20, 2.91939e-20, 1.95561e-19
S18, 0.287880, 0.063324, 0.000576, 0.006347, 0.009145, 0.064298, 8.09548e-19, 2.02144e-19, 1.83759e-21, 2.02602e-20, 2.91939e-20, 2.05252e-19
S12S18, 0.318054, 0.043226, 0.000500, 0.004315, 0.009145, 0.044396, 9.0587e-19, 1.37986e-19, 1.59588e-21, 1.37737e-20, 2.91939e-20, 1.41721e-19
