, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, reweight_error, value, fit_error, acc_error, align_error, Br_error, tot_error, reweight_err,
S12, 0.458467, 0.104013, 0.024611, 0.017957, 0.007298, 0.108629, -0.009323, 1.53438e-18, 3.32034e-19, 7.85624e-20, 5.73222e-20, 2.32968e-20, 3.46767e-19, -2.97626e-20
S18, 0.070403, 0.114439, 0.016141, 0.004215, 0.007298, 0.115879, 0.000182, 2.95597e-19, 3.65316e-19, 5.15264e-20, 1.34549e-20, 2.32968e-20, 3.69912e-19, 5.80312e-22
S12S18, 0.281706, 0.077314, 0.011949, -0.000631, 0.007298, 0.078574, 0.003997, 9.70121e-19, 2.46804e-19, 3.8144e-20, -2.0138e-21, 2.32968e-20, 2.50826e-19, 1.27594e-20

, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, reweight_error, value, fit_error, acc_error, align_error, Br_error, tot_error, reweight_err,
S12, 0.265538, 0.088825, 0.013767, 0.005655, 0.008172, 0.090433, -0.014005, 9.20189e-19, 2.8355e-19, 4.39457e-20, 1.8051e-20, 2.6087e-20, 2.88683e-19, -4.47079e-20
S18, 0.256563, 0.097846, 0.017883, -0.001974, 0.008172, 0.099821, 0.017506, 8.91536e-19, 3.12345e-19, 5.70856e-20, -6.30066e-21, 2.6087e-20, 3.18651e-19, 5.58823e-20
S12S18, 0.262080, 0.066065, 0.010681, -0.001986, 0.008172, 0.067450, 0.002135, 9.09149e-19, 2.10895e-19, 3.40969e-20, -6.33904e-21, 2.6087e-20, 2.15314e-19, 6.81631e-21

, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, reweight_error, value, fit_error, acc_error, align_error, Br_error, tot_error, reweight_err,
S12, 0.496263, 0.066790, 0.000757, 0.020955, 0.008243, 0.070488, 0.006779, 1.67868e-18, 2.13208e-19, 2.41762e-21, 6.68926e-20, 2.63134e-20, 2.25012e-19, 2.16397e-20
S18, 0.401487, 0.072071, 0.000747, -0.009010, 0.008243, 0.073102, 0.004598, 1.37614e-18, 2.30067e-19, 2.38616e-21, -2.87614e-20, 2.63134e-20, 2.33358e-19, 1.46787e-20
S12S18, 0.453682, 0.049249, 0.000722, 0.001729, 0.008243, 0.049969, 0.005782, 1.54275e-18, 1.57213e-19, 2.30622e-21, 5.52032e-21, 2.63134e-20, 1.59512e-19, 1.84566e-20

, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, reweight_error, value, fit_error, acc_error, align_error, Br_error, tot_error, reweight_err,
S12, 0.376415, 0.063905, 0.018932, 0.006165, 0.009145, 0.067556, 0.012672, 1.31103e-18, 2.03998e-19, 6.04346e-20, 1.9679e-20, 2.91939e-20, 2.15655e-19, 4.04514e-20
S18, 0.332523, 0.071149, 0.020321, -0.003004, 0.009145, 0.074618, 0.037524, 1.17092e-18, 2.27125e-19, 6.48677e-20, -9.58993e-21, 2.91939e-20, 2.38197e-19, 1.19783e-19
S12S18, 0.351069, 0.047769, 0.012784, -0.002236, 0.009145, 0.050339, 0.020159, 1.23012e-18, 1.52491e-19, 4.08104e-20, -7.13835e-21, 2.91939e-20, 1.60693e-19, 6.43512e-20
