, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.445494, 0.105006, 0.000802, 0.024760, 0.007298, 0.108135, 1.49297e-18, 3.35202e-19, 2.56163e-21, 7.9038e-20, 2.32968e-20, 3.45191e-19
S18, 0.083837, 0.112387, 0.000521, -0.004318, 0.007298, 0.112708, 3.3848e-19, 3.58766e-19, 1.6617e-21, -1.37833e-20, 2.32968e-20, 3.59789e-19
S12S18, 0.280455, 0.077116, 0.000521, -0.002736, 0.007298, 0.077511, 9.66129e-19, 2.46171e-19, 1.66387e-21, -8.73347e-21, 2.32968e-20, 2.47431e-19

, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.276330, 0.089697, 0.000492, 0.004517, 0.008172, 0.090183, 9.54638e-19, 2.86333e-19, 1.57008e-21, 1.44197e-20, 2.6087e-20, 2.87884e-19
S18, 0.251080, 0.096098, 0.000593, -0.001969, 0.008172, 0.096466, 8.74034e-19, 3.06765e-19, 1.89148e-21, -6.28446e-21, 2.6087e-20, 3.07942e-19
S12S18, 0.264884, 0.065904, 0.000504, -0.004301, 0.008172, 0.066550, 9.18102e-19, 2.10379e-19, 1.60759e-21, -1.37292e-20, 2.6087e-20, 2.12441e-19

, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.545353, 0.073605, 0.000901, 0.015250, 0.008243, 0.075624, 1.83539e-18, 2.34964e-19, 2.87681e-21, 4.8681e-20, 2.63134e-20, 2.41409e-19
S18, 0.442136, 0.079569, 0.000901, -0.022270, 0.008243, 0.083042, 1.5059e-18, 2.54001e-19, 2.87488e-21, -7.10896e-20, 2.63134e-20, 2.65087e-19
S12S18, 0.499037, 0.054309, 0.000861, -0.009540, 0.008243, 0.055760, 1.68754e-18, 1.73366e-19, 2.74721e-21, -3.04528e-20, 2.63134e-20, 1.77997e-19

, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.376971, 0.064630, 0.000662, 0.008352, 0.009145, 0.065809, 1.3128e-18, 2.06312e-19, 2.11288e-21, 2.66609e-20, 2.91939e-20, 2.10077e-19
S18, 0.320162, 0.069881, 0.000725, -0.000984, 0.009145, 0.070487, 1.13146e-18, 2.23074e-19, 2.31425e-21, -3.14239e-21, 2.91939e-20, 2.2501e-19
S12S18, 0.352310, 0.047687, 0.000627, -0.004942, 0.009145, 0.048811, 1.23408e-18, 1.52229e-19, 2.00187e-21, -1.57748e-20, 2.91939e-20, 1.55816e-19
