, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.446108, 0.105219, 0.000803, 0.024881, 0.007298, 0.108370, 1.49493e-18, 3.35883e-19, 2.56268e-21, 7.94269e-20, 2.32968e-20, 3.45941e-19
S18, 0.083652, 0.112660, 0.000520, -0.004145, 0.007298, 0.112974, 3.37888e-19, 3.59637e-19, 1.66137e-21, -1.32306e-20, 2.32968e-20, 3.60638e-19
S12S18, 0.280776, 0.077293, 0.000522, -0.002655, 0.007298, 0.077684, 9.67154e-19, 2.46736e-19, 1.6673e-21, -8.47614e-21, 2.32968e-20, 2.47984e-19

, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.276945, 0.089880, 0.000491, 0.004469, 0.008172, 0.090362, 9.566e-19, 2.86916e-19, 1.56783e-21, 1.4265e-20, 2.6087e-20, 2.88457e-19
S18, 0.251077, 0.096331, 0.000594, -0.001633, 0.008172, 0.096693, 8.74024e-19, 3.07511e-19, 1.89604e-21, -5.21216e-21, 2.6087e-20, 3.08665e-19
S12S18, 0.265235, 0.066055, 0.000504, -0.004253, 0.008172, 0.066696, 9.19219e-19, 2.10863e-19, 1.60966e-21, -1.35765e-20, 2.6087e-20, 2.1291e-19

, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.546430, 0.073756, 0.000899, 0.015227, 0.008243, 0.075767, 1.83883e-18, 2.35447e-19, 2.87138e-21, 4.86078e-20, 2.63134e-20, 2.41865e-19
S18, 0.442834, 0.079765, 0.000899, -0.022122, 0.008243, 0.083190, 1.50812e-18, 2.54627e-19, 2.86894e-21, -7.06174e-20, 2.63134e-20, 2.6556e-19
S12S18, 0.499994, 0.054435, 0.000859, -0.009568, 0.008243, 0.055887, 1.69059e-18, 1.73768e-19, 2.74216e-21, -3.0543e-20, 2.63134e-20, 1.78404e-19

, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.377738, 0.064765, 0.000661, 0.008318, 0.009145, 0.065938, 1.31525e-18, 2.06745e-19, 2.10855e-21, 2.6552e-20, 2.91939e-20, 2.10489e-19
S18, 0.321165, 0.070055, 0.000723, -0.001002, 0.009145, 0.070660, 1.13466e-18, 2.23631e-19, 2.30925e-21, -3.19804e-21, 2.91939e-20, 2.25563e-19
S12S18, 0.353235, 0.047800, 0.000625, -0.005042, 0.009145, 0.048931, 1.23703e-18, 1.52588e-19, 1.99618e-21, -1.60937e-20, 2.91939e-20, 1.562e-19
