, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.445272, 0.104917, 0.000802, 0.024679, 0.007298, 0.108030, 1.49226e-18, 3.34919e-19, 2.56085e-21, 7.87811e-20, 2.32968e-20, 3.44857e-19
S18, 0.083305, 0.112361, 0.000518, -0.004016, 0.007298, 0.112671, 3.36783e-19, 3.58682e-19, 1.65233e-21, -1.28192e-20, 2.32968e-20, 3.5967e-19
S12S18, 0.280215, 0.077084, 0.000523, -0.002617, 0.007298, 0.077475, 9.65362e-19, 2.46069e-19, 1.66817e-21, -8.35334e-21, 2.32968e-20, 2.47316e-19

, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.276002, 0.089621, 0.000489, 0.004542, 0.008172, 0.090109, 9.53592e-19, 2.86091e-19, 1.56077e-21, 1.4499e-20, 2.6087e-20, 2.87648e-19
S18, 0.250160, 0.096075, 0.000592, -0.001395, 0.008172, 0.096434, 8.71098e-19, 3.06694e-19, 1.88892e-21, -4.45348e-21, 2.6087e-20, 3.07839e-19
S12S18, 0.264324, 0.065876, 0.000503, -0.004062, 0.008172, 0.066507, 9.16312e-19, 2.10292e-19, 1.60431e-21, -1.29676e-20, 2.6087e-20, 2.12307e-19

, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.545101, 0.073543, 0.000898, 0.015179, 0.008243, 0.075550, 1.83458e-18, 2.34767e-19, 2.86502e-21, 4.84535e-20, 2.63134e-20, 2.41172e-19
S18, 0.441377, 0.079552, 0.000894, -0.021611, 0.008243, 0.082851, 1.50347e-18, 2.53947e-19, 2.85317e-21, -6.8987e-20, 2.63134e-20, 2.64478e-19
S12S18, 0.498642, 0.054287, 0.000856, -0.009331, 0.008243, 0.055703, 1.68628e-18, 1.73296e-19, 2.7329e-21, -2.97876e-20, 2.63134e-20, 1.77816e-19

, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.376650, 0.064577, 0.000658, 0.008346, 0.009145, 0.065756, 1.31178e-18, 2.06143e-19, 2.10067e-21, 2.6642e-20, 2.91939e-20, 2.09908e-19
S18, 0.320296, 0.069866, 0.000719, -0.000849, 0.009145, 0.070471, 1.13188e-18, 2.23028e-19, 2.29457e-21, -2.71081e-21, 2.91939e-20, 2.24959e-19
S12S18, 0.352263, 0.047669, 0.000622, -0.004883, 0.009145, 0.048787, 1.23393e-18, 1.52169e-19, 1.98655e-21, -1.55867e-20, 2.91939e-20, 1.55739e-19
