Run-1a, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.492497, 0.099625, 0.033288, 0.024494, 0.007298, 0.108104, 1.50131e-18, 3.18026e-19, 1.06261e-19, 7.81895e-20, 2.32968e-20, 3.45092e-19
S18, 0.180344, 0.119869, 0.024186, 0.000108, 0.007298, 0.122502, 5.04845e-19, 3.82647e-19, 7.72087e-20, 3.43429e-22, 2.32968e-20, 3.91054e-19
S12S18, 0.375331, 0.077410, 0.018972, 0.016703, 0.007298, 0.081758, 1.12729e-18, 2.47108e-19, 6.05624e-20, 5.33204e-20, 2.32968e-20, 2.60991e-19
,,,,,,,,,,,
Run-1a randomised, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.489431, 0.099635, 0.033367, 0.026263, 0.007298, 0.108552, 1.49152e-18, 3.18058e-19, 1.06515e-19, 8.38383e-20, 2.32968e-20, 3.46523e-19
S18, 0.185705, 0.119865, 0.027652, -0.002049, 0.007298, 0.123246, 5.2196e-19, 3.82635e-19, 8.82701e-20, -6.54134e-21, 2.32968e-20, 3.9343e-19
S12S18, 0.381371, 0.077412, 0.019253, 0.017342, 0.007298, 0.081959, 1.14657e-18, 2.47117e-19, 6.14599e-20, 5.53588e-20, 2.32968e-20, 2.61633e-19
,,,,,,,,,,,,
Run-1a randomised phase fixed
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.488792, 0.099636, 0.033366, 0.026216, 0.007298, 0.108541, 1.48948e-18, 3.1806e-19, 1.06513e-19, 8.36889e-20, 2.32968e-20, 3.46487e-19
