Run-1a,,,,,,,
,chi2ndf, A_EDM^{BLIND} [mrad],, A_{g-2} [mrad],, c [mrad],
Station, value, value, error, value, error, value, error
S12,0.88305,0.0438601,0.00879294,-0.00121278,0.00878878,-0.00114746,0.00622687
S18,0.851237,0.0174808,0.00922957,0.00519278,0.00921933,-0.000207744,0.00653301
S12S18,0.86764,0.0312708,0.00636635,0.00185361,0.00636139,-0.000699557,0.00450742
,,,,,,,
Run-1b,,,,,,,
,chi2ndf, A_EDM^{BLIND} [mrad],, A_{g-2} [mrad],, c [mrad],
Station, value, value, error, value, error, value, error
S12,0.570677,0.0255603,0.0075069,-0.00201725,0.00749178,-0.00229659,0.00531209
S18,0.826751,0.0307181,0.00789242,-0.0101289,0.00788698,-0.00181909,0.00558736
S12S18,0.69827,0.0280253,0.00543943,-0.00587694,0.00543186,-0.00206347,0.00384987
,,,,,,,
Run-1c,,,,,,,
,chi2ndf, A_EDM^{BLIND} [mrad],, A_{g-2} [mrad],, c [mrad],
Station, value, value, error, value, error, value, error
S12,1.05486,0.0481968,0.00616028,0.000401317,0.0061536,0.00364783,0.00436098
S18,1.43284,0.0435466,0.00653238,-0.00271779,0.00652604,0.00421834,0.00462364
S12S18,1.41932,0.0459939,0.00448183,-0.00107424,0.00447716,0.00391473,0.00317251
,,,,,,,
Run-1d,,,,,,,
,chi2ndf, A_EDM^{BLIND} [mrad],, A_{g-2} [mrad],, c [mrad],
Station, value, value, error, value, error, value, error
S12,0.773358,0.0347604,0.00540181,0.00795829,0.00539445,0.00165763,0.00382333
S18,0.465567,0.0306221,0.00573434,-7.17E-06,0.0057283,-0.000149455,0.00405877
S12S18,0.623495,0.0328095,0.00393199,0.00420532,0.00392722,0.000804195,0.00278304
