Run-1a,
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.139551, 0.101979, 0.015141, 0.010767, 0.007298, 0.103914, 3.74625e-19, 3.25539e-19, 4.83332e-20, 3.43713e-20, 2.32968e-20, 3.31716e-19
S18, -0.235097, 0.120952, 0.023821, -0.445392, 0.007298, 0.462195, -8.21336e-19, 3.86107e-19, 7.60409e-20, -1.42179e-18, 2.32968e-20, 1.47543e-18
S12S18, -0.007452, 0.078673, 0.006692, -0.012578, 0.007298, 0.080285, -9.46432e-20, 2.51143e-19, 2.13628e-20, -4.01521e-20, 2.32968e-20, 2.56289e-19
Run-1b,
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, -0.034009, 0.087100, 0.005569, -0.065333, 0.008172, 0.109328, -1.81095e-19, 2.78042e-19, 1.77788e-20, -2.08559e-19, 2.6087e-20, 3.48999e-19
S18, -0.037482, 0.103400, 0.016176, -0.056951, 0.008172, 0.119429, -1.92183e-19, 3.30075e-19, 5.16386e-20, -1.818e-19, 2.6087e-20, 3.81245e-19
S12S18, -0.028067, 0.067228, 0.005951, -0.047708, 0.008172, 0.083053, -1.62127e-19, 2.14605e-19, 1.89979e-20, -1.52295e-19, 2.6087e-20, 2.65124e-19	
Run-1c,
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.235868, 0.071439, 0.014426, 0.014638, 0.008243, 0.074792, 6.58444e-19, 2.28049e-19, 4.60504e-20, 4.67266e-20, 2.63134e-20, 2.38752e-19
S18, 0.176977, 0.085615, 0.019543, -0.002439, 0.008243, 0.088237, 4.7045e-19, 2.73302e-19, 6.2387e-20, -7.78471e-21, 2.63134e-20, 2.81672e-19
S12S18, 0.221994, 0.055389, 0.009885, 0.008886, 0.008243, 0.057554, 6.14154e-19, 1.76813e-19, 3.15538e-20, 2.83666e-20, 2.63134e-20, 1.83727e-19
Run-1d,
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.073809, 0.062685, 0.006602, 0.004164, 0.009145, 0.063828, 1.26188e-19, 2.00106e-19, 2.10762e-20, 1.32921e-20, 2.91939e-20, 2.03754e-19
S18, 0.043791, 0.075175, 0.016694, 0.004731, 0.009145, 0.077691, 3.03614e-20, 2.39974e-19, 5.32918e-20, 1.51013e-20, 2.91939e-20, 2.48008e-19
S12S18, 0.063105, 0.048611, 0.004167, 0.004695, 0.009145, 0.049861, 9.20182e-20, 1.55179e-19, 1.33017e-20, 1.49876e-20, 2.91939e-20, 1.59167e-19
