Run-1a
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.419855, 0.099636, 0.029177, 0.024045, 0.007298, 0.106818, 1.26942e-18, 3.1806e-19, 9.314e-20, 7.67567e-20, 2.32968e-20, 3.40986e-19
S18, 0.063406, 0.119865, 0.021962, -0.006541, 0.007298, 0.122254, 1.31554e-19, 3.82637e-19, 7.01078e-20, -2.08794e-20, 2.32968e-20, 3.90263e-19
S12S18, 0.283437, 0.077413, 0.015062, 0.013661, 0.007298, 0.080371, 8.33939e-19, 2.47119e-19, 4.80801e-20, 4.36102e-20, 2.32968e-20, 2.56562e-19

Run-1b
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.254020, 0.085106, 0.015875, 0.011961, 0.008172, 0.087777, 7.38355e-19, 2.71676e-19, 5.06753e-20, 3.81828e-20, 2.6087e-20, 2.80204e-19
S18, 0.252531, 0.102476, 0.023602, -0.000792, 0.008172, 0.105479, 7.33603e-19, 3.27126e-19, 7.53423e-20, -2.52926e-21, 2.6087e-20, 3.36712e-19
S12S18, 0.260946, 0.066155, 0.013771, 0.007617, 0.008172, 0.068490, 7.60468e-19, 2.11181e-19, 4.39612e-20, 2.43143e-20, 2.6087e-20, 2.18636e-19

Run-1c
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.511981, 0.069817, 0.032154, 0.027392, 0.008243, 0.082015, 1.53986e-18, 2.2287e-19, 1.02642e-19, 8.74426e-20, 2.63134e-20, 2.61811e-19
S18, 0.462606, 0.084856, 0.034337, 0.013952, 0.008243, 0.092964, 1.38224e-18, 2.70881e-19, 1.09611e-19, 4.45373e-20, 2.63134e-20, 2.9676e-19
S12S18, 0.502780, 0.054511, 0.024098, 0.023510, 0.008243, 0.064598, 1.51049e-18, 1.74012e-19, 7.69268e-20, 7.5049e-20, 2.63134e-20, 2.06211e-19

Run-1d
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.357049, 0.061285, 0.022305, 0.018165, 0.009145, 0.068315, 1.03035e-18, 1.95636e-19, 7.12014e-20, 5.79865e-20, 2.91939e-20, 2.18077e-19
S18, 0.335532, 0.074518, 0.027038, 0.021830, 0.009145, 0.082729, 9.61665e-19, 2.37877e-19, 8.63113e-20, 6.96854e-20, 2.91939e-20, 2.6409e-19
S12S18, 0.351073, 0.047853, 0.016422, 0.020326, 0.009145, 0.055285, 1.01128e-18, 1.52758e-19, 5.24237e-20, 6.48863e-20, 2.91939e-20, 1.76482e-19
