
Run-1a,
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.415108, 0.096168, 0.000624, 0.024921, 0.007298, 0.099614, 1.25427e-18, 3.0699e-19, 1.9905e-21, 7.95541e-20, 2.32968e-20, 3.17991e-19
S18, 0.079135, 0.101931, 0.000396, -0.002058, 0.007298, 0.102213, 1.81763e-19, 3.25386e-19, 1.26488e-21, -6.57062e-21, 2.32968e-20, 3.26287e-19
S12S18, 0.257545, 0.069961, 0.000392, 0.012496, 0.007298, 0.071443, 7.51286e-19, 2.2333e-19, 1.25128e-21, 3.98904e-20, 2.32968e-20, 2.28061e-19
,
Run-1b,
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.251756, 0.082138, 0.000398, 0.012719, 0.008172, 0.083519, 7.31128e-19, 2.62203e-19, 1.27079e-21, 4.0601e-20, 2.6087e-20, 2.6661e-19
S18, 0.229411, 0.087157, 0.000460, 0.002146, 0.008172, 0.087567, 6.59799e-19, 2.78225e-19, 1.46987e-21, 6.85059e-21, 2.6087e-20, 2.79533e-19
S12S18, 0.240901, 0.059785, 0.000396, 0.007781, 0.008172, 0.060842, 6.96478e-19, 1.90846e-19, 1.2644e-21, 2.48399e-20, 2.6087e-20, 1.9422e-19
,
Run-1c,
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.500265, 0.067384, 0.000725, 0.028032, 0.008243, 0.073450, 1.50246e-18, 2.15106e-19, 2.31581e-21, 8.94836e-20, 2.63134e-20, 2.34469e-19
S18, 0.401299, 0.072139, 0.000722, 0.013437, 0.008243, 0.073844, 1.18654e-18, 2.30283e-19, 2.30532e-21, 4.28937e-20, 2.63134e-20, 2.35728e-19
S12S18, 0.453654, 0.049252, 0.000685, 0.021285, 0.008243, 0.054289, 1.35366e-18, 1.57223e-19, 2.18736e-21, 6.79477e-20, 2.63134e-20, 1.73301e-19
,
Run-1d,
, delta_prime, , dMu [ecm], ,
Station, value, fit_error, acc_error, align_error, Br_error, tot_error, value, fit_error, acc_error, align_error, Br_error, tot_error
S12, 0.345432, 0.059129, 0.000536, 0.018348, 0.009145, 0.062585, 9.93267e-19, 1.88754e-19, 1.71015e-21, 5.85708e-20, 2.91939e-20, 1.99785e-19
S18, 0.287880, 0.063324, 0.000576, 0.017996, 0.009145, 0.066466, 8.09548e-19, 2.02144e-19, 1.83759e-21, 5.74462e-20, 2.91939e-20, 2.12175e-19
S12S18, 0.318054, 0.043226, 0.000500, 0.018192, 0.009145, 0.047784, 9.0587e-19, 1.37986e-19, 1.59588e-21, 5.80714e-20, 2.91939e-20, 1.52536e-19
