UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.12259, 0.122239, 0.0266132, -0.0301124, 0.0265273, -0.116675, 0.0187885
S12_, 1.50336, 0.0849409, 0.0264431, -0.0258019, 0.0263128, -0.422539, 0.0186527
S18_, 1.15845, 0.0775794, 0.0264189, -0.0270522, 0.0262789, -0.268484, 0.0186327
S12S18_, 1.40067, 0.0813111, 0.0186913, -0.0266394, 0.0185959, -0.345849, 0.0131836
S0S12S18_, 1.03137, 0.0972624, 0.0153079, -0.0281891, 0.0152472, -0.265771, 0.0108035
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.12259, 0.150558, 0.0266132, -0.0301034, 0.0265273, -0.116674, 0.0187885
S12_, 1.50336, 0.11326, 0.0264431, -0.025793, 0.0263128, -0.422538, 0.0186527
S18_, 1.15845, 0.105898, 0.0264189, -0.0270432, 0.0262789, -0.268484, 0.0186327
S12S18_, 1.40067, 0.10963, 0.0186913, -0.0266304, 0.0185959, -0.345849, 0.0131836
S0S12S18_, 1.03136, 0.125581, 0.0153079, -0.0281801, 0.0152472, -0.26577, 0.0108035
UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.12259, 0.122239, 0.0266132, -0.0301124, 0.0265273, -0.116675, 0.0187885
S12_, 1.50336, 0.0849409, 0.0264431, -0.0258019, 0.0263128, -0.422539, 0.0186527
S18_, 1.15845, 0.0775794, 0.0264189, -0.0270522, 0.0262789, -0.268484, 0.0186327
S12S18_, 1.40067, 0.0813111, 0.0186913, -0.0266394, 0.0185959, -0.345849, 0.0131836
S0S12S18_, 1.03137, 0.0972624, 0.0153079, -0.0281891, 0.0152472, -0.265771, 0.0108035
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.12259, 0.150981, 0.0266132, -0.0301033, 0.0265273, -0.116674, 0.0187885
S12_, 1.50336, 0.113683, 0.0264431, -0.0257928, 0.0263128, -0.422538, 0.0186527
S18_, 1.15845, 0.106321, 0.0264189, -0.0270431, 0.0262789, -0.268484, 0.0186327
S12S18_, 1.40067, 0.110053, 0.0186913, -0.0266303, 0.0185959, -0.345849, 0.0131836
S0S12S18_, 1.03136, 0.126004, 0.0153079, -0.02818, 0.0152472, -0.26577, 0.0108035
Hello
Reading	../Plots/MC/dMu/5.4e-18/Plots/edmPlots_trackRecoControl_AAR_250MeV_AQ.root 0x7fbcaf7ffa20
Getting phase
[/usr/lib/system/libsystem_platform.dylib] _sigtramp (no debug info)
[<unknown binary>] (no debug info)
[/Users/samuelgrant/Documents/gm2/EDM/CMacros/./BlindedEDMSimFitter.exe] Run(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, bool, bool) (no debug info)
[/Users/samuelgrant/Documents/gm2/EDM/CMacros/./BlindedEDMSimFitter.exe] main (no debug info)
[/usr/lib/system/libdyld.dylib] start (no debug info)
UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.12259, 0.122239, 0.0266132, -0.0301124, 0.0265273, -0.116675, 0.0187885
S12_, 1.50336, 0.0849409, 0.0264431, -0.0258019, 0.0263128, -0.422539, 0.0186527
S18_, 1.15845, 0.0775794, 0.0264189, -0.0270522, 0.0262789, -0.268484, 0.0186327
S12S18_, 1.40067, 0.0813111, 0.0186913, -0.0266394, 0.0185959, -0.345849, 0.0131836
S0S12S18_, 1.03137, 0.0972624, 0.0153079, -0.0281891, 0.0152472, -0.265771, 0.0108035
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.12259, 0.150981, 0.0266132, -0.0301033, 0.0265273, -0.116674, 0.0187885
S12_, 1.50336, 0.113683, 0.0264431, -0.0257928, 0.0263128, -0.422538, 0.0186527
S18_, 1.15845, 0.106321, 0.0264189, -0.0270431, 0.0262789, -0.268484, 0.0186327
S12S18_, 1.40067, 0.110053, 0.0186913, -0.0266303, 0.0185959, -0.345849, 0.0131836
S0S12S18_, 1.03136, 0.126004, 0.0153079, -0.02818, 0.0152472, -0.26577, 0.0108035
UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.12259, 0.122975, 0.0266138, -0.0269488, 0.0265267, -0.116675, 0.0187885
S12_, 1.50336, 0.0855782, 0.0264434, -0.023602, 0.0263125, -0.422539, 0.0186527
S18_, 1.15845, 0.0782514, 0.0264201, -0.0250417, 0.0262777, -0.268484, 0.0186327
S12S18_, 1.40067, 0.0819712, 0.0186918, -0.0245328, 0.0185953, -0.345849, 0.0131836
S0S12S18_, 1.03137, 0.0979572, 0.0153084, -0.0256704, 0.0152468, -0.265771, 0.0108035
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.12259, 0.151717, 0.0266138, -0.0269397, 0.0265267, -0.116674, 0.0187885
S12_, 1.50336, 0.11432, 0.0264434, -0.0235929, 0.0263125, -0.422538, 0.0186527
S18_, 1.15845, 0.106993, 0.0264201, -0.0250327, 0.0262777, -0.268484, 0.0186327
S12S18_, 1.40067, 0.110713, 0.0186918, -0.0245238, 0.0185953, -0.345849, 0.0131837
S0S12S18_, 1.03136, 0.126699, 0.0153084, -0.0256614, 0.0152468, -0.26577, 0.0108035
UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.12259, 0.122975, 0.0266138, -0.0269488, 0.0265267, -0.116675, 0.0187885
S12_, 1.50336, 0.0855782, 0.0264434, -0.023602, 0.0263125, -0.422539, 0.0186527
S18_, 1.15845, 0.0782514, 0.0264201, -0.0250417, 0.0262777, -0.268484, 0.0186327
S12S18_, 1.40067, 0.0819712, 0.0186918, -0.0245328, 0.0185953, -0.345849, 0.0131836
S0S12S18_, 1.03137, 0.0979572, 0.0153084, -0.0256704, 0.0152468, -0.265771, 0.0108035
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.12259, 0.151717, 0.0266138, -0.0269397, 0.0265267, -0.116674, 0.0187885
S12_, 1.50336, 0.11432, 0.0264434, -0.0235929, 0.0263125, -0.422538, 0.0186527
S18_, 1.15845, 0.106993, 0.0264201, -0.0250327, 0.0262777, -0.268484, 0.0186327
S12S18_, 1.40067, 0.110713, 0.0186918, -0.0245238, 0.0185953, -0.345849, 0.0131837
S0S12S18_, 1.03136, 0.126699, 0.0153084, -0.0256614, 0.0152468, -0.26577, 0.0108035
UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.12259, 0.122975, 0.0266138, -0.0269488, 0.0265267, -0.116675, 0.0187885
S12_, 1.50336, 0.0855782, 0.0264434, -0.023602, 0.0263125, -0.422539, 0.0186527
S18_, 1.15845, 0.0782514, 0.0264201, -0.0250417, 0.0262777, -0.268484, 0.0186327
S12S18_, 1.40067, 0.0819712, 0.0186918, -0.0245328, 0.0185953, -0.345849, 0.0131836
S0S12S18_, 1.03137, 0.0979572, 0.0153084, -0.0256704, 0.0152468, -0.265771, 0.0108035
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.12259, 0.151717, 0.0266138, -0.0269397, 0.0265267, -0.116674, 0.0187885
S12_, 1.50336, 0.11432, 0.0264434, -0.0235929, 0.0263125, -0.422538, 0.0186527
S18_, 1.15845, 0.106993, 0.0264201, -0.0250327, 0.0262777, -0.268484, 0.0186327
S12S18_, 1.40067, 0.110713, 0.0186918, -0.0245238, 0.0185953, -0.345849, 0.0131837
S0S12S18_, 1.03136, 0.126699, 0.0153084, -0.0256614, 0.0152468, -0.26577, 0.0108035
