UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 0.79503, -0.162968, 0.00956493, 0.0547573, 0.00967369, -0.123183, 0.00684198
S12_, 1.71122, -0.144962, 0.00962668, 0.0714607, 0.00973581, 0.0885673, 0.00688672
S18_, 1.1389, -0.157404, 0.00970959, 0.0585711, 0.00980997, 0.0374469, 0.00694136
S12S18_, 1.13462, -0.151137, 0.00683624, 0.0650404, 0.00691035, 0.0632083, 0.00488887
S0S12S18_, 0.784551, -0.155137, 0.00556181, 0.0615967, 0.0056231, 0.000224358, 0.00397781
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 0.795059, -0.134649, 0.00956493, 0.054766, 0.00967369, -0.123183, 0.00684198
S12_, 1.71126, -0.116643, 0.00962668, 0.0714694, 0.00973581, 0.0885677, 0.00688672
S18_, 1.13888, -0.129085, 0.00970959, 0.0585798, 0.00980997, 0.0374472, 0.00694136
S12S18_, 1.13465, -0.122818, 0.00683624, 0.0650492, 0.00691035, 0.0632087, 0.00488887
S0S12S18_, 0.784609, -0.126818, 0.00556181, 0.0616054, 0.0056231, 0.000224714, 0.00397781
