UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.12781, -0.124065, 0.0261643, 0.0197985, 0.0262921, 0.117256, 0.0185514
S12_, 1.16725, -0.0849399, 0.026081, 0.0266824, 0.0261394, 0.402688, 0.0184684
S18_, 0.542795, -0.094686, 0.0260633, 0.0397398, 0.0260924, 0.263867, 0.0184466
S12S18_, 0.540206, -0.0900065, 0.0184365, 0.0331921, 0.0184674, 0.333619, 0.0130519
S0S12S18_, 0.691274, -0.101313, 0.0150714, 0.0285752, 0.0151131, 0.261426, 0.0106752
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.12781, -0.0957458, 0.0261643, 0.0198071, 0.0262921, 0.117256, 0.0185514
S12_, 1.16725, -0.056621, 0.026081, 0.0266908, 0.0261394, 0.402689, 0.0184684
S18_, 0.542807, -0.0663673, 0.0260633, 0.0397485, 0.0260924, 0.263867, 0.0184466
S12S18_, 0.540214, -0.0616878, 0.0184365, 0.0332009, 0.0184674, 0.333619, 0.0130519
S0S12S18_, 0.691284, -0.0729938, 0.0150714, 0.028584, 0.0151131, 0.261427, 0.0106752
