UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.35765, 0.150763, 0.0122418, -0.0230035, 0.0123048, -0.147431, 0.00870078
S12_, 1.38967, 0.134998, 0.0124034, -0.0308291, 0.0124505, -0.40002, 0.00880714
S18_, 1.23469, 0.106094, 0.0124942, -0.0193467, 0.0125401, -0.302807, 0.00886987
S12S18_, 1.39301, 0.120589, 0.00880266, -0.0250648, 0.00883555, -0.351756, 0.0062498
S0S12S18_, 1.243, 0.130722, 0.00714707, -0.0246355, 0.00717721, -0.282338, 0.00507616
UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.23193, 5.16188e-05, 0.0209779, 0.173837, 0.0211038, -0.131545, 0.014914
S12_, 1.33889, -0.000119735, 0.0213339, 0.158753, 0.0214016, -0.39541, 0.0151447
S18_, 1.07422, 0.000890449, 0.0215137, 0.123604, 0.0215384, -0.344013, 0.015253
S12S18_, 1.18992, 0.000457474, 0.0151496, 0.141491, 0.0151823, -0.369909, 0.0107477
S0S12S18_, 1.11769, 0.000290371, 0.0122829, 0.152155, 0.0123253, -0.288817, 0.00872018
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.35766, 0.179082, 0.0122418, -0.0229948, 0.0123048, -0.147431, 0.00870078
S12_, 1.38965, 0.163317, 0.0124034, -0.0308204, 0.0124505, -0.40002, 0.00880714
S18_, 1.2347, 0.134413, 0.0124942, -0.019338, 0.0125401, -0.302807, 0.00886987
S12S18_, 1.393, 0.148908, 0.00880266, -0.0250561, 0.00883555, -0.351756, 0.0062498
S0S12S18_, 1.243, 0.159041, 0.00714707, -0.0246269, 0.00717721, -0.282338, 0.00507616
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.23192, 0.0283705, 0.0209779, 0.173846, 0.0211038, -0.131545, 0.014914
S12_, 1.33889, 0.0281976, 0.0213339, 0.158762, 0.0214016, -0.39541, 0.0151447
S18_, 1.07421, 0.0292093, 0.0215137, 0.123612, 0.0215384, -0.344013, 0.015253
S12S18_, 1.18992, 0.0287764, 0.0151496, 0.1415, 0.0151823, -0.369909, 0.0107477
S0S12S18_, 1.11768, 0.0286093, 0.0122829, 0.152163, 0.0123253, -0.288817, 0.00872018
