UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.35765, 0.150763, 0.0122418, -0.0230035, 0.0123048, -0.147431, 0.00870078
S12_, 1.38967, 0.134998, 0.0124034, -0.0308291, 0.0124505, -0.40002, 0.00880714
S18_, 1.23469, 0.106094, 0.0124942, -0.0193467, 0.0125401, -0.302807, 0.00886987
S12S18_, 1.39301, 0.120589, 0.00880266, -0.0250648, 0.00883555, -0.351756, 0.0062498
S0S12S18_, 1.243, 0.130722, 0.00714707, -0.0246355, 0.00717721, -0.282338, 0.00507616
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.35766, 0.179082, 0.0122418, -0.0229948, 0.0123048, -0.147431, 0.00870078
S12_, 1.38965, 0.163317, 0.0124034, -0.0308204, 0.0124505, -0.40002, 0.00880714
S18_, 1.2347, 0.134413, 0.0124942, -0.019338, 0.0125401, -0.302807, 0.00886987
S12S18_, 1.393, 0.148908, 0.00880266, -0.0250561, 0.00883555, -0.351756, 0.0062498
S0S12S18_, 1.243, 0.159041, 0.00714707, -0.0246269, 0.00717721, -0.282338, 0.00507616
