UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.04565, 0.167107, 0.00584152, -0.00353125, 0.00591106, -0.0262444, 0.00418451
S12_, 0.923875, 0.152824, 0.00587885, -0.0278466, 0.00594722, -0.238205, 0.00421022
S18_, 1.40823, 0.155742, 0.0059192, -0.00632883, 0.00598791, -0.174761, 0.00423887
S12S18_, 1.43078, 0.154263, 0.00417119, -0.0171483, 0.00421965, -0.206743, 0.00298716
S0S12S18_, 1.288, 0.158598, 0.00339465, -0.0125657, 0.00343443, -0.145625, 0.00243128
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.04557, 0.195426, 0.00584152, -0.00352254, 0.00591106, -0.0262441, 0.00418451
S12_, 0.923851, 0.181144, 0.00587885, -0.0278379, 0.00594722, -0.238204, 0.00421022
S18_, 1.40818, 0.184061, 0.0059192, -0.00632011, 0.00598791, -0.17476, 0.00423887
S12S18_, 1.4307, 0.182582, 0.00417119, -0.0171396, 0.00421965, -0.206742, 0.00298716
S0S12S18_, 1.28784, 0.186918, 0.00339465, -0.012557, 0.00343443, -0.145625, 0.00243128
