Station, value, value, error, value, error, value, error
S0_, 0.893167, 0.0494918, 0.021935, 0.00835835, 0.0221361, -0.142901, 0.0159197
S12_, 1.4667, 0.00787492, 0.0222229, 0.00286695, 0.0224139, -0.3905, 0.0161372
S18_, 1.32971, -0.0177535, 0.0223773, -0.0151282, 0.0225691, -0.283664, 0.0162454
S12S18_, 1.47673, -0.00491887, 0.0157687, -0.00595175, 0.0159042, -0.337624, 0.0114492
S0S12S18_, 1.03398, 0.0135271, 0.0128041, -0.00110042, 0.0129167, -0.271538, 0.00929531
S12_, 0.022137, 0.297014, 22.137395, 297.072420
S18_, 0.069473, 0.299171, 69.472840, 299.749532
S12S18_, 0.049518, 0.211020, 49.517894, 211.161471
S0S12S18_, -0.009049, 0.171583, -9.049060, 171.708550

***************************** Done *****************************
