%,\multirow{2}{*}{$\delta^{	ext{BLIND}}$ [mrad]},\multicolumn{2}{c}{$\d_{\mu}^{\text{BLIND}}$ $e\cdot$cm
,,\multicolumn{2}{c|}{Run-1a},\multicolumn{2}{c|}{Run-1b},\multicolumn{2}{c|}{Run-1c},\multicolumn{2}{c}{Run-1d}
,,$\delta$ [mrad],$d_{\mu}$ [$\times10^{-19}$ $e\cdot$cm],$\delta$ [mrad],$d_{\mu}$ [$\times10^{-19}$ $e\cdot$cm],$\delta$ [mrad],$d_{\mu}$ [$\times10^{-19}$ $e\cdot$cm],$\delta$ [mrad],$d_{\mu}$ [$\times10^{-19}$ $e\cdot$cm]
,Statistical,0.111,3.55,0.0851,2.72,0.0698,2.23,0.0613,1.96
,Acceptance,0.0256,0.818,0.0159,0.507,0.0322,1.03,0.0223,0.712
,Alignment,0.0205,0.654,0.0120,0.382,0.0274,0.874,0.0182,0.580
,Radial magnetic field,0.00730,0.233,0.00817,0.261,0.00824,0.263,0.00915,0.292
,Re-weighting,0.00939,0.300,0.00817,0.261,0.00824,0.263,0.00915,0.292
,Total,0.117,3.72,0.0878,2.80,0.0820,2.62,0.0683,2.18
,Statistical,0.122,3.90,0.102,3.27,0.0849,2.71,0.0745,2.38
,Acceptance,0.0178,0.568,0.0236,0.753,0.0343,1.10,0.0270,0.863
,Alignment,0.00595,0.209,0.000792,0.0253,0.0140,0.445,0.0218,0.697
,Radial magnetic field,0.190,0.233,0.00817,0.261,0.00824,0.263,0.00915,0.292
,Re-weighting,0.00149,0.0477,0.00817,0.261,0.00824,0.263,0.00915,0.292
,Total,0.124,3.96,0.105,3.37,0.0930,2.97,0.0827,2.64
,Statistical,0.0826,2.64,0.0662,2.11,0.0545,1.74,0.0479,1.53
,Acceptance,0.0121,0.387,0.0138,0.440,0.0241,0.769,0.0164,0.524
,Alignment,0.000146,0.0468,0.00762,0.243,0.02351,0.750,0.0203,0.649
,Radial magnetic field,0.00730,0.233,0.00817,0.261,0.00824,0.263,0.00915,0.292
,Re-weighting,0.00385,0.123,0.00817,0.261,0.00824,0.263,0.00915,0.292
,Total,0.0839,2.68,0.0685,2.19,0.0646,2.06,0.0553,1.76
