run,y,ey
37970,74.7028,0.00984818
37971,74.7173,0.0123305
37972,74.7054,0.0107471
37973,74.7198,0.0106877
37974,74.7245,0.0116212
37975,74.7272,0.00970835
37976,74.6937,0.0108045
37977,74.7123,0.0107434
37978,74.7297,0.0107807
37979,74.7212,0.0101119
37980,74.7332,0.0106213
37981,74.7052,0.00837144
37982,74.7269,0.00828166
37983,74.715,0.0120519
37986,74.721,0.00874609
37987,74.7132,0.0114346
37988,74.7237,0.00945919
37989,74.6854,0.0798382
37990,74.7392,0.0117859
37991,74.662,0.0193717
37993,74.7186,0.00747565
37995,74.7007,0.00749314
37996,74.7031,0.00770297
37997,74.6839,0.050988
37999,74.6684,0.0276487
38000,74.7395,0.0149949
38003,62.5,0
38005,62.5,0
38006,73.836,0.362234
38032,63.5074,0.994029
38033,60.3916,1.73572
38034,74.7191,0.0157827
38036,74.7344,0.0182538
38037,74.6854,0.0198219
38038,74.7281,0.00932614
38039,74.744,0.0153325
38041,74.6991,0.00885975
38042,74.7028,0.0121332
38043,74.7098,0.0279417
38044,74.9138,0.168184
38045,74.6388,0.0668037
38046,74.6957,0.0840682
38047,74.679,0.0102352
38048,74.7262,0.0114893
38049,74.7177,0.0111877
38050,74.7053,0.010899
38051,74.7099,0.0123478
38052,74.7037,0.0126322
38053,74.707,0.0109883
38054,74.696,0.0124037
38055,74.7073,0.0111722
38056,74.6944,0.0127727
38057,74.7073,0.0349221
38058,74.7485,0.0265321
38059,74.6385,0.0260378
38060,74.6634,0.0326213
38061,74.6888,0.032052
38062,74.65,0.0364801
38063,74.6891,0.0387336
38064,74.6988,0.0280649
38065,74.7195,0.0447164
38066,74.723,0.0107473
38067,74.702,0.0104561
38068,74.717,0.0104608
38069,74.713,0.0112853
38070,74.7017,0.0105353
38071,74.7222,0.0117602
38072,74.7266,0.0112674
38073,74.6988,0.0116994
38074,74.7185,0.010935
38075,74.7209,0.0108879
38076,74.7051,0.0118426
38077,74.7185,0.0121737
38078,74.7051,0.0122387
38079,74.7106,0.011894
38080,74.7088,0.0119538
38081,74.715,0.012381
38082,74.7251,0.0118464
38083,74.6765,0.00997289
38084,74.6911,0.0103281
38085,74.7164,0.0100797
38086,74.6981,0.00973815
38087,74.7078,0.00980725
38088,74.6904,0.0123393
38089,74.7163,0.00890345
38090,74.689,0.0109834
38091,74.7127,0.0118307
38092,74.7011,0.0119129
38093,74.7135,0.0126119
38095,74.6895,0.0125332
38096,74.7159,0.013052
38097,74.7316,0.0143595
38099,74.7127,0.0121636
38100,74.7338,0.0137364
38101,74.7045,0.0128072
38102,74.6614,0.0318716
38103,74.7127,0.0143993
38104,74.7013,0.0128074
38105,74.7157,0.0134178
38106,74.7039,0.0110636
38107,74.7101,0.0483821
38111,74.726,0.0119989
38112,74.7051,0.0122186
38113,74.7033,0.0118218
38114,74.7052,0.0140041
38115,74.7089,0.0133229
38116,74.6968,0.0129463
38117,74.7068,0.0119847
38118,74.7307,0.011127
38119,74.708,0.013525
38120,74.7184,0.0125158
38121,74.7348,0.0237053
38122,74.7112,0.0153574
38123,62.5,0
38124,59.4126,2.97505
38125,62.5,0
38126,62.5,0
38127,62.5,0
38129,62.5,0
38154,74.7111,0.0107582
38155,74.7035,0.0153885
38156,74.727,0.0124304
38157,74.7219,0.013193
38158,74.7185,0.0131589
38159,74.7413,0.0285968
38160,74.7016,0.131238
38161,74.6959,0.0140769
38162,74.6675,0.0122912
38163,74.7831,0.0500428
38164,74.7087,0.0816244
38165,74.7083,0.0130127
38166,74.699,0.0129517
38167,74.7021,0.0123188
38168,74.7021,0.0224478
38169,74.7087,0.0134887
38170,74.7191,0.0116264
38171,74.7139,0.0124655
38172,74.6998,0.011092
38173,74.7002,0.0107643
38174,74.7147,0.0121486
38175,74.7001,0.0122671
38176,74.6913,0.0128699
38177,74.7224,0.052809
38178,90.5299,2.50198
38180,27.113,0
38181,107.004,0
38183,74.7147,0.0330054
38184,74.7252,0.0165173
38185,74.6945,0.0143372
38186,74.7161,0.0161247
38187,74.7179,0.0108299
38188,74.6285,0.021132
38189,74.6755,0.0132081
38190,74.6814,0.0123952
38191,74.7145,0.0128645
38192,74.6987,0.0115388
38193,74.6844,0.013128
38194,74.6953,0.013977
38196,74.6807,0.0119999
38197,74.7017,0.0123926
38198,74.6913,0.015678
38199,74.7141,0.0125528
38200,74.6896,0.0131223
38201,74.6813,0.0126321
38202,74.7626,0.0608154
38203,74.6955,0.0238886
38204,74.6769,0.0327888
38205,74.6901,0.0142493
38206,74.705,0.0117516
38208,74.7094,0.0113582
38209,74.7153,0.0129703
38210,74.7177,0.0115894
38211,74.7442,0.0142473
38212,21.032,0
38213,56.5392,0
38243,30.639,0.553716
38244,74.6945,0.0125739
38245,74.7811,0.132558
38246,74.7215,0.0114616
38247,74.7001,0.0382224
38249,74.7417,0.010669
38250,74.6936,0.0128295
38251,74.713,0.0133393
38252,74.7209,0.011857
38253,74.7076,0.0133685
38254,74.7193,0.0118182
38255,74.6957,0.0115291
38256,74.7045,0.0129676
38257,74.7213,0.0121879
38258,74.6871,0.0119953
38259,74.7013,0.0130747
38260,74.7185,0.0127896
38261,74.6992,0.0122241
38262,74.7069,0.011853
38263,74.7259,0.0125951
38264,74.6957,0.0130268
38265,74.6994,0.0121836
38266,74.6916,0.0543564
38267,74.71,0.013916
38268,74.7422,0.0138078
38269,74.7022,0.0140276
38270,74.7234,0.013586
38271,74.6592,0.01376
38272,74.6944,0.0135373
38273,74.6938,0.0136194
38274,74.7191,0.0126762
38275,74.6991,0.0139633
38276,74.705,0.0285263
38277,71.4356,14.8549
38278,74.8091,0.0582353
38279,74.7031,0.0248605
38280,60.4301,3.06476
38281,74.6844,0.0384431
38282,74.6063,0.0652151
38283,74.7131,0.0541697
38285,74.6017,0.0540241
38286,74.666,0.0132686
38287,74.7351,0.0118747
38288,74.7253,0.012475
38289,74.7369,0.0130041
38290,74.7134,0.0132135
38291,74.7499,0.0132608
38292,74.7098,0.0136109
38293,74.6812,0.0140733
38294,93.143,0
38300,124.895,0
38373,137.5,0
38392,137.5,0
38394,137.5,0
38639,74.3685,0
38640,74.7126,0.0169613
38641,74.6387,0.0213967
38644,74.5965,0.0141589
