Calo,Angle[deg],<y>[m],delta<y>[m]
1,15,6.43184e-05,6.75072e-05
2,30,4.57129e-05,6.96e-05
3,45,5.74694e-05,6.83926e-05
4,60,2.32045e-05,6.85202e-05
5,75,9.7374e-05,6.05022e-05
6,90,-4.73013e-05,6.9891e-05
7,105,-7.32168e-05,7.51905e-05
8,120,-3.5642e-05,7.58856e-05
9,135,-2.15555e-05,7.31834e-05
10,150,-4.93957e-06,7.64434e-05
11,165,5.52228e-05,6.72706e-05
12,180,-2.32181e-05,6.95355e-05
13,195,-4.12069e-05,6.11541e-05
14,210,0.00017542,6.80631e-05
15,225,3.08454e-05,6.4684e-05
16,240,0.000116888,7.1769e-05
17,255,6.47925e-05,7.3281e-05
18,270,6.04259e-05,6.92916e-05
19,285,3.37723e-05,6.54666e-05
20,300,9.27586e-05,7.4878e-05
21,315,0.000127587,6.81133e-05
22,330,0.00020193,6.6577e-05
23,345,3.39944e-05,6.45578e-05
24,360,-6.20042e-05,7.87961e-05

